Fermi GBM Flare List  (generated 29-May-2025 05:00)
                                                                                                    
Total # flares: 1232   Time range: 14-Nov-2014 00:00:00.000 - 01-Jun-2017 00:00:00.000
                                                                                                    
   Flare         Start time         Peak     End       Peak        Avg. Count      Sunward
                                                       c/ms           Rate        Detectors

 150413_1010 13-Apr-2015 10:10:48 10:11:17 10:11:54    1.324     168.0909090909  n5 n4 n2 n1
 150413_1132 13-Apr-2015 11:32:35 11:33:56 11:35:56    5.205     728.6750000000  n5 n3 n1 n0
 150415_2015 15-Apr-2015 20:15:18 20:20:16 20:44:47   39.238    3784.9050310910  n5 n3 n1 n0
 150416_0549 16-Apr-2015 05:49:51 05:49:51 05:52:39    1.950     342.1726190476  n5 n3 n1 n0
 150416_0602 16-Apr-2015 06:02:41 06:03:39 06:04:40    1.699     289.4033613445  n3 n1 n5 n0
 150416_0902 16-Apr-2015 09:02:09 09:03:19 09:12:35   50.249    7163.8706070288  n5 n3 n1 n0
 150416_0917 16-Apr-2015 09:17:01 09:17:52 09:19:50   27.168    4142.9940828402  n3 n1 n5 n0
 150416_1357 16-Apr-2015 13:57:26 13:57:38 13:59:29    1.556     256.6666666667  n1 n3 n0 n5
 150416_1914 16-Apr-2015 19:14:13 19:15:06 19:15:43    0.498      85.5000000000  n5 n4 n2 n3
 150418_1334 18-Apr-2015 13:34:08 13:34:57 13:38:09    5.812     459.4917355372  n1 n3 n0 n5
 150418_1405 18-Apr-2015 14:05:28 14:07:35 14:09:01    1.578     240.9014084507  n5 n4 n2 n1
 150418_1812 18-Apr-2015 18:12:27 18:14:47 18:20:35    3.646     360.1868583162  n5 n3 n1 n0
 150418_1822 18-Apr-2015 18:22:30 18:23:23 18:26:03    1.409     221.6854460094  n5 n3 n1 n0
 150418_1830 18-Apr-2015 18:30:33 18:31:02 18:32:03    1.107     220.6777777778  n5 n3 n1 n0
 150418_2142 18-Apr-2015 21:42:07 21:42:39 21:43:20    5.445     824.3513513514  n5 n3 n1 n0
 150419_0054 19-Apr-2015 00:54:37 00:55:26 00:58:06   17.546     942.2727272727  n5 n3 n1 n0
 150420_2113 20-Apr-2015 21:13:06 21:13:35 21:14:49    1.275     255.6470588235  n5 n3 n1 n0
 150421_0710 21-Apr-2015 07:10:50 07:16:26 07:16:46   12.845    1353.1488764045  n5 n4 n2 n3
 150421_0956 21-Apr-2015 09:56:19 09:58:06 10:04:35    3.658     414.4254032258  n5 n3 n1 n0
 150421_1017 21-Apr-2015 10:17:58 10:24:47 10:27:34    7.441    1304.4756944444  n5 n4 n2 n3
 150421_1149 21-Apr-2015 11:49:37 11:53:45 12:02:43  202.401   52715.4351145038  n5 n1 n3 n4
 150421_1549 21-Apr-2015 15:49:51 15:49:51 16:01:03   19.608    1016.5461309524  n5 n4 n2 n1
 150421_2052 21-Apr-2015 20:52:16 20:55:33 21:06:41    9.589     678.8692129630  n1 n3 n0 n5
 150422_0024 22-Apr-2015 00:24:26 00:25:03 00:25:43    2.460     330.6666666667  n1 n3 n0 n5
 150422_0140 22-Apr-2015 01:40:21 01:41:27 01:47:40    7.551     535.6757990868  n5 n3 n1 n0
 150422_0159 22-Apr-2015 01:59:49 02:03:42 02:10:32    7.357     488.8880248834  n5 n3 n1 n4
 150422_0216 22-Apr-2015 02:16:45 02:17:13 02:18:25    2.619    1018.2079207921  n5 n4 n2 n3
 150422_0302 22-Apr-2015 03:02:04 03:03:01 03:06:30    3.029     315.3120300752  n5 n4 n1 n3
 150422_0314 22-Apr-2015 03:14:50 03:16:00 03:38:44    9.552     482.7642956764  n1 n3 n0 n5
 150422_0705 22-Apr-2015 07:05:55 07:06:16 07:06:30    1.648    1262.7428571429  n5 n4 n2 n1
 150422_0800 22-Apr-2015 08:00:10 08:05:30 08:17:35   16.979     814.3534482759  n5 n3 n1 n0
 150422_0830 22-Apr-2015 08:30:25 08:40:47 08:41:49   23.210    1436.6856725146  n5 n4 n2 n3
 150423_0629 23-Apr-2015 06:29:17 06:30:11 06:32:13    2.122     271.2840909091  n5 n3 n1 n0
 150423_0916 23-Apr-2015 09:16:49 09:32:15 10:06:47    9.282    1270.3242161441  n5 n3 n1 n0
 150423_1104 23-Apr-2015 11:04:38 11:17:36 11:23:29    0.707     114.9389920424  n0 n1 n3 n5
 150423_1744 23-Apr-2015 17:44:00 17:44:58 17:47:13    4.011     408.8756476684  n1 n3 n0 n5
 150425_1234 25-Apr-2015 12:34:11 12:34:36 12:34:53    8.795    2144.8536585366  n5 n3 n1 n0
 150428_0517 28-Apr-2015 05:17:20 05:18:01 05:19:44    1.526     220.7552447552  n5 n1 n3 n0
 150503_0601  3-May-2015 06:01:36 06:02:21 06:03:02    1.242     179.1046511628  n5 n1 n3 n4
 150503_0929  3-May-2015 09:29:28 09:29:36 09:33:22    1.069     219.5150214592  n5 n1 n3 n0
 150503_2343  3-May-2015 23:43:55 23:46:30 23:51:05    2.083     293.7232558140  n3 n0 n1 n5
 150504_0051  4-May-2015 00:51:34 00:51:55 01:02:58   20.114    1847.4005847953  n5 n4 n2 n3
